word,meaning,hint,partOfSpeech,scoreTier,difficulty,priority,tags
condition,状態、条件,working conditions,noun,600,2,5,employment|contract
cooperation,協力,thank you for your cooperation,noun,600,3,5,communication|teamwork
criterion,基準,selection criteria,noun,600,4,4,evaluation|decision
decline,減少、断る,decline an offer,"noun, verb",600,3,5,finance|communication
emphasis,強調、重点,place emphasis on,noun,600,4,3,strategy|communication
evaluation,評価,performance evaluation,noun,600,4,5,performance|employment
exception,例外,make an exception,noun,600,3,4,rules|customer
expectation,期待、予想,meet expectations,noun,600,3,5,customer|performance
growth,成長、増加,sales growth,noun,600,2,5,finance|report
impact,影響、影響を与える,have an impact on,"noun, verb",600,3,5,analysis|business
resource,資源、資料,human resources,noun,600,3,5,employment|management
revenue,収益、売上高,annual revenue,noun,600,4,5,finance|report
shortage,不足,staff shortage,noun,600,3,5,employment|logistics
solution,解決策,find a solution,noun,600,3,5,problem-solving|business
standard,基準、標準の,quality standards,"noun, adjective",600,3,5,quality|rules
statement,声明、明細書,bank statement,noun,600,3,5,finance|document
transaction,取引,complete a transaction,noun,600,4,5,finance|business
achieve,達成する,achieve a goal,verb,600,3,5,performance|business
adapt,適応させる、適応する,adapt to change,verb,600,3,4,business|change
analyze,分析する,analyze data,verb,600,3,5,analysis|data
assume,想定する、引き受ける,assume responsibility,verb,600,4,4,management|analysis
authorize,許可する,authorize payment,verb,600,4,5,finance|management
calculate,計算する,calculate the cost,verb,600,3,5,finance|data
clarify,明確にする,clarify the details,verb,600,4,4,communication|document
comply,従う,comply with regulations,verb,600,4,5,rules|business
conclude,結論づける、終える,conclude a meeting,verb,600,3,4,meeting|analysis
contribute,貢献する,contribute to growth,verb,600,3,4,business|performance
demonstrate,実証する、説明する,demonstrate a product,verb,600,4,4,product|sales
evaluate,評価する,evaluate performance,verb,600,4,5,performance|analysis
expand,拡大する,expand operations,verb,600,3,5,business|strategy
implement,実施する、導入する,implement a policy,verb,600,4,5,management|procedure
imply,暗に示す,results imply that,verb,600,4,3,analysis|report
monitor,監視する、確認する,monitor progress,verb,600,3,5,management|performance
obtain,入手する、得る,obtain permission,verb,600,3,5,procedure|business
prevent,防ぐ,prevent delays,verb,600,3,5,quality|safety
promote,促進する、昇進させる,promote a product,verb,600,3,5,advertising|employment
respond,返答する、対応する,respond to a request,verb,600,3,5,communication|customer
retain,維持する、保持する,retain customers,verb,600,4,4,customer|business
revise,修正する,revise a document,verb,600,3,5,document|work
satisfy,満足させる、満たす,satisfy requirements,verb,600,3,4,customer|quality
specify,明記する、指定する,as specified in,verb,600,4,5,document|contract
suggest,提案する、示唆する,suggest a solution,verb,600,3,5,communication|analysis
appropriate,適切な,appropriate action,adjective,600,4,5,decision|business
competitive,競争力のある、競争の激しい,competitive price,adjective,600,3,5,market|sales
considerable,かなりの,considerable increase,adjective,600,4,4,report|finance
efficient,効率的な,efficient system,adjective,600,3,5,performance|technology
essential,不可欠な,essential information,adjective,600,3,5,business|general
financial,財務の、金融の,financial report,adjective,600,3,5,finance|report
