word,meaning,hint,partOfSpeech,scoreTier,difficulty,priority,tags
elevator,"エレベーター,昇降機(lift)",「elevator」：工事・点検案内でよく使う,noun,400,1,5,facility|business
reception,受付、歓迎会,「reception」：office procedureとセットで,noun,400,1,5,office|event
correctly,"正しく,正確に",「correctly」：文中での品詞を意識する,adverb,400,1,5,general
lease,"借地(借家)契約,借地(借家)権",「lease」：TOEIC文書での用法を確認,"noun, verb",400,1,5,general
preview,"試写会,試演会,(展覧会などの)内見(ないけん)",「preview」：TOEIC文書での用法を確認,"noun, verb",400,1,5,general
attendant,付き添いの,「attendant」：文中での品詞を意識する,"noun, adjective",400,1,5,general
subscription,予約,「subscription」：文中での品詞を意識する,noun,400,2,5,general
manual,手引書、手作業の,「manual」：提出書類の文脈で確認,"noun, adjective",400,1,5,document|business
clue,"手がかり,(研究などの)糸口,端緒",「clue」：文中での品詞を意識する,"noun, verb",400,1,5,general
garage,車庫,「garage」：TOEIC文書での用法を確認,"noun, verb",400,1,5,general
oval,卵形の,「oval」：文中での品詞を意識する,noun,400,1,5,general
most,"最も多い,最高の,最大の",「most」：前後の語との組合せを覚える,noun,400,1,5,general
outdoor,"戸外の,野外の",「outdoor」：前後の語との組合せを覚える,adjective,400,1,5,general
need,"必要,入用",「need」：前後の語との組合せを覚える,"noun, verb",400,1,5,general
suitcase,"スーツケース,(長方形で平たい)小型旅行かばん",「suitcase」：文中での品詞を意識する,noun,400,1,5,general
destination,"目的地,行き先",「destination」：出張・交通案内で頻出,noun,400,2,5,travel|business
occupation,"職業,仕事",「occupation」：採用・人事の場面で頻出,noun,400,2,5,employment|business
contradict,"否定する,反ばくする(deny)",「contradict」：文中での品詞を意識する,verb,400,2,5,general
umbrella,"傘(かさ),こうもり傘,雨傘,日傘",「umbrella」：文中での品詞を意識する,noun,400,1,5,general
inference,"推量,推論,推測",「inference」：TOEIC文書での用法を確認,noun,400,1,5,general
compact,"ぎっしり詰まった,目詰んだ,緊密な",「compact」：文中での品詞を意識する,"noun, verb",400,1,5,general
merchandise,商品(goods),「merchandise」：sales reportの文脈で確認,"noun, verb",400,2,5,sales|retail
dentist,"歯科医,歯医者",「dentist」：前後の語との組合せを覚える,noun,400,1,5,general
identification,"同一であることの確認(証明),身元確認,身分証明",「identification」：前後の語との組合せを覚える,noun,400,2,5,general
coupon,クーポン(切り取って使う切符),「coupon」：TOEIC文書での用法を確認,noun,400,1,5,general
depart,"(遠くへ)立ち去る,出発する",「depart」：前後の語との組合せを覚える,verb,400,1,5,general
change,"変える,改める",「change」：文中での品詞を意識する,"noun, verb",400,1,5,general
renovation,刷新(修繕)すること,「renovation」：施設案内で頻出,noun,400,2,5,facility|business
upgrade,更新する、格上げする,「upgrade」：TOEIC文書での用法を確認,"noun, verb",400,1,5,general
precede,…より先に来る(行く),「precede」：TOEIC文書での用法を確認,verb,400,1,5,general
replacement,"置き換わること,取り替えること,元へ戻すこと",「replacement」：文中での品詞を意識する,noun,400,2,5,general
dine,正餐(晩餐)をとる,「dine」：文中での品詞を意識する,noun,400,1,5,general
problem,"問題,やっかいな事態",「problem」：前後の語との組合せを覚える,noun,400,1,5,general
write,"書く,記す",「write」：TOEIC文書での用法を確認,verb,400,1,5,general
passport,"旅券,パスポート",「passport」：旅程表の文脈で確認,noun,400,1,5,travel|business
coworker,仕事仲間,「coworker」：採用・人事の場面で頻出,noun,400,1,5,employment|business
upcoming,"なって来る,やがて起こる(現れる),まもなく公開される",「upcoming」：TOEIC文書での用法を確認,noun,400,1,5,general
cabinet,キャビネット(引出し・たな・仕切などのある箱・戸だな),「cabinet」：社内業務の場面で頻出,noun,400,1,5,office|business
appliance,"器具,機械,装置",「appliance」：機器の説明・点検で頻出,noun,400,1,5,equipment|business
explanatory,"解説の,説明に役立つ",「explanatory」：TOEIC文書での用法を確認,adjective,400,2,5,general
instructor,"教師,指導者",「instructor」：研修・講習の場面で頻出,noun,400,2,5,training|business
keyboard,鍵盤(けんばん),「keyboard」：前後の語との組合せを覚える,"noun, verb",400,1,5,general
media,mediumの複数形,「media」：商品紹介文での用法を確認,noun,400,1,5,marketing|advertising
help,"手伝う,助ける,の役に立つ",「help」：利用案内の文脈で確認,"noun, verb",400,1,5,service|business
supermarket,スーパーマーケット(食料品や家庭用品などを売るセルフサービス式の大型小売店),「supermarket」：TOEIC文書での用法を確認,noun,400,2,5,general
valid,"妥当な,しっかりした根拠のある",「valid」：契約条件の文脈で頻出,adjective,400,1,5,contract|business
admission,"入ることを許すこと,入場(入学,入会)許可,(…へ)入る権利",「admission」：make a reservationと関連,noun,400,1,5,reservation|business
talk,"話す,しゃべる,物を言う,口を利く",「talk」：文中での品詞を意識する,"noun, verb",400,1,5,general
something,"何か,あるもの,あること",「something」：TOEIC文書での用法を確認,adverb,400,1,5,general
underline,に下線を引く,「underline」：文中での品詞を意識する,"noun, verb",400,1,5,general
electrical,電気と関係のある,「electrical」：前後の語との組合せを覚える,adjective,400,2,5,general
become,なる,「become」：前後の語との組合せを覚える,verb,400,1,5,general
interest,"興味,関心",「interest」：数値表現とセットで覚える,"noun, verb",400,1,5,finance|business
country,"国,国家,国土",「country」：文中での品詞を意識する,noun,400,1,5,general
assignment,"割り当てられた仕事(持ち場,任務)",「assignment」：文中での品詞を意識する,noun,400,2,5,general
exit,出口,「exit」：前後の語との組合せを覚える,"noun, verb",400,1,5,general
cruise,巡航(遊航)する,「cruise」：TOEIC文書での用法を確認,"noun, verb",400,1,5,general
high,"高い,高い所にある",「high」：文中での品詞を意識する,noun,400,1,5,general
different,"異なった,違う",「different」：前後の語との組合せを覚える,adjective,400,1,5,general
next,"次の,すぐ後に続く",「next」：TOEIC文書での用法を確認,"adjective, adverb",400,1,5,general
end,"端,先端",「end」：文中での品詞を意識する,"noun, verb",400,1,5,general
comprehension,理解,「comprehension」：文中での品詞を意識する,noun,400,2,5,general
live,"生きている,生命がある",「live」：TOEIC文書での用法を確認,"verb, adjective",400,1,5,general
mall,木陰の散歩道,「mall」：文中での品詞を意識する,noun,400,1,5,general
medication,"薬剤,医薬品",「medication」：前後の語との組合せを覚える,noun,400,2,5,general
recycle,再利用する,「recycle」：文中での品詞を意識する,"noun, verb",400,1,5,general
week,"週,(ある日からの)1週間",「week」：文中での品詞を意識する,"noun, adverb",400,1,5,general
renew,新しくする,「renew」：契約文書での用法を確認,verb,400,1,5,contract|business
play,"遊ぶ,戯れる",「play」：TOEIC文書での用法を確認,"noun, verb",400,1,5,general
tenant,"借地人,借家人",「tenant」：文中での品詞を意識する,"noun, verb",400,1,5,general
departure,"(遠くへ)立ち去ること,出発",「departure」：前後の語との組合せを覚える,noun,400,1,5,general
mini,ミニスカート,「mini」：TOEIC文書での用法を確認,noun,400,1,5,general
course,"進路,道筋,方向,水路",「course」：研修・講習の場面で頻出,"noun, verb",400,1,5,training|business
fitness,"適性,ふさわしさ",「fitness」：文中での品詞を意識する,noun,400,1,5,general
report,"報告,報道",「report」：report that節での用法を確認,"noun, verb",400,1,5,report|business
inconvenience,"不便,不都合,不自由",「inconvenience」：TOEIC文書での用法を確認,"noun, verb",400,2,5,general
group,"群れ,集まり,小集団",「group」：文中での品詞を意識する,"noun, verb",400,1,5,general
banquet,宴会,「banquet」：催事・会場案内で頻出,"noun, verb",400,1,5,event|business
case,"実例,事例",「case」：前後の語との組合せを覚える,"noun, verb",400,1,5,general
unreal,実体のない,「unreal」：文中での品詞を意識する,adjective,400,1,5,general
seem,"(…のように)見える,思われる",「seem」：TOEIC文書での用法を確認,verb,400,1,5,general
expire,"満了する,切れる",「expire」：文中での品詞を意識する,verb,400,1,5,general
let,"に(…)させる,させておく,を(…する)ままにしておく(受動態にできない)",「let」：前後の語との組合せを覚える,"noun, verb",400,1,5,general
folder,紙ばさみ,「folder」：TOEIC文書での用法を確認,noun,400,1,5,general
again,"再び,もう一度(once more)",「again」：文中での品詞を意識する,adverb,400,1,5,general
photocopy,"写真複写する,コピーする",「photocopy」：社内業務の場面で頻出,"noun, verb",400,1,5,office|business
kind,"親切な,優しい,思いやりのある",「kind」：文中での品詞を意識する,noun,400,1,5,general
keep,"ずっと持っている,保持する",「keep」：前後の語との組合せを覚える,"noun, verb",400,1,5,general
renovate,"元どおりに新しくする,修復する",「renovate」：TOEIC文書での用法を確認,verb,400,1,5,general
hear,"が聞こえる,を聞く(進行形にできない)",「hear」：文中での品詞を意識する,verb,400,1,5,general
sunny,日のよくさす(当たる),「sunny」：TOEIC文書での用法を確認,noun,400,1,5,general
system,"体系,系統,組織,装置",「system」：機器トラブル表現と関連,noun,400,1,5,technology|business
calendar,"暦,カレンダー",「calendar」：office procedureとセットで,"noun, verb",400,1,5,office|schedule
question,"質問,問い",「question」：文中での品詞を意識する,"noun, verb",400,1,5,general
donation,"寄贈,寄付",「donation」：前後の語との組合せを覚える,noun,400,1,5,general
big,大きい,「big」：TOEIC文書での用法を確認,"adjective, adverb",400,1,5,general
shortly,"まもなく(in a short time),すぐに(soon)",「shortly」：TOEIC文書での用法を確認,adverb,400,1,5,general
set,置く・すえる・(ある物に)…をつける・あてがう・当てる・,「set」：文中での品詞を意識する,"noun, verb",400,1,5,general
snack,"軽食,スナック",「snack」：TOEIC文書での用法を確認,"noun, verb",400,1,5,general
study,"勉強,学習すること",「study」：文中での品詞を意識する,"noun, verb",400,1,5,general
follow,…の後について行く,「follow」：文中での品詞を意識する,"noun, verb",400,1,5,general
copier,複写する人,「copier」：TOEIC文書での用法を確認,noun,400,1,5,general
begin,"始まる,開始する",「begin」：前後の語との組合せを覚える,verb,400,1,5,general
provider,供給者,「provider」：文中での品詞を意識する,noun,400,1,5,general
important,"重要な,重大な",「important」：前後の語との組合せを覚える,adjective,400,1,5,general
since,"…以後,…以来",「since」：文中での品詞を意識する,adverb,400,1,5,general
beverage,"飲み物,飲料(drink)",「beverage」：前後の語との組合せを覚える,noun,400,1,5,general
hungry,"飢えた,空腹の",「hungry」：TOEIC文書での用法を確認,adjective,400,1,5,general
under,"…の下に,に覆われて",「under」：文中での品詞を意識する,adverb,400,1,5,general
inspection,"検査,点検",「inspection」：前後の語との組合せを覚える,noun,400,2,5,general
recipient,受取人,「recipient」：前後の語との組合せを覚える,"noun, adjective",400,1,5,general
bring,持ってくる,「bring」：文中での品詞を意識する,verb,400,1,5,general
inspect,"検査する,念入りに調べる",「inspect」：前後の語との組合せを覚える,verb,400,1,5,general
without,"…なしに,を持たないで,を使わないで",「without」：前後の語との組合せを覚える,adverb,400,1,5,general
eligible,"適格な,適任の,選ばれる資格のある",「eligible」：TOEIC文書での用法を確認,adjective,400,1,5,general
indoor,"室内の,屋内の",「indoor」：TOEIC文書での用法を確認,adjective,400,1,5,general
against,"…に対して,に逆らって(in opposition to)",「against」：TOEIC文書での用法を確認,verb,400,1,5,general
believe,"信じる,信用する",「believe」：前後の語との組合せを覚える,verb,400,1,5,general
though,"…にもかかわらず,…だけれども(although)",「though」：前後の語との組合せを覚える,adverb,400,1,5,general
happen,"起こる,発生する,生ずる",「happen」：TOEIC文書での用法を確認,"verb, adverb",400,1,5,general
donate,"寄贈する,寄付する",「donate」：文中での品詞を意識する,verb,400,1,5,general
outstanding,"目立つ,顕著な,傑出して",「outstanding」：前後の語との組合せを覚える,adjective,400,2,5,general
understand,"理解する,の意味をつかむ",「understand」：TOEIC文書での用法を確認,verb,400,2,5,general
thank,"に感謝する,礼を言う",「thank」：TOEIC文書での用法を確認,verb,400,1,5,general
inquire,"尋ねる,問う",「inquire」：文中での品詞を意識する,verb,400,1,5,general
overnight,"一晩じゅう,夜通し",「overnight」：TOEIC文書での用法を確認,"adjective, adverb",400,1,5,general
prohibit,"禁止する,禁ずる(forbid)",「prohibit」：前後の語との組合せを覚える,verb,400,1,5,general
quite,"全く,完全に",「quite」：TOEIC文書での用法を確認,adverb,400,1,5,general
sure,"確信して,自信をもって",「sure」：TOEIC文書での用法を確認,"adjective, adverb",400,1,5,general
delicious,おいしい,「delicious」：TOEIC文書での用法を確認,adjective,400,1,5,general
least,(littleの最上級,「least」：TOEIC文書での用法を確認,"adjective, adverb",400,1,5,general
supervise,"監督する,管理する",「supervise」：TOEIC文書での用法を確認,verb,400,1,5,general
speak,"話す,しゃべる,物を言う,口をきく",「speak」：前後の語との組合せを覚える,verb,400,1,5,general
often,"しばしば,たびたび,よく",「often」：TOEIC文書での用法を確認,"adjective, adverb",400,1,5,general
subscribe,予約する,「subscribe」：文中での品詞を意識する,verb,400,1,5,general
administrative,行政上の,「administrative」：TOEIC文書での用法を確認,adjective,400,2,5,general
lose,"失う,なくす,を見失う,を失う",「lose」：TOEIC文書での用法を確認,verb,400,1,5,general
accommodate,"宿泊させる,収容する,適応させる,調停する",「accommodate」：文中での品詞を意識する,verb,400,2,5,general
annoy,"困らせる,悩ませる,いらいらさせる",「annoy」：TOEIC文書での用法を確認,verb,400,1,5,general
commute,"振り替える,切り替える",「commute」：TOEIC文書での用法を確認,verb,400,1,5,general
quit,"やめる,中止する",「quit」：前後の語との組合せを覚える,"verb, adjective",400,1,5,general
complimentary,"あいさつの,お祝いの",「complimentary」：前後の語との組合せを覚える,adjective,400,2,5,general
rainy,"雨の,雨降りの",「rainy」：前後の語との組合せを覚える,adjective,400,1,5,general
grow,"成長する,育つ,生える,茂る",「grow」：TOEIC文書での用法を確認,verb,400,1,5,general
relocate,移す,「relocate」：TOEIC文書での用法を確認,verb,400,1,5,general
unhappy,"悲しい,気の滅入る",「unhappy」：文中での品詞を意識する,adjective,400,1,5,general
incomplete,不完全な,「incomplete」：文中での品詞を意識する,adjective,400,2,5,general
remember,思い出す,「remember」：TOEIC文書での用法を確認,verb,400,1,5,general
worldwide,"全世界に知れ渡った,世界的な",「worldwide」：文中での品詞を意識する,adjective,400,1,5,general
designate,"指摘する,示す,明示する",「designate」：TOEIC文書での用法を確認,"verb, adjective",400,1,5,general
remain,"残る,存続する",「remain」：TOEIC文書での用法を確認,verb,400,1,5,general
cater,"(…の)食物を調達する,料理をまかなう",「cater」：文中での品詞を意識する,verb,400,1,5,general
involve,"伴う,引き起こす,含む(受動態にできない)",「involve」：文中での品詞を意識する,verb,400,1,5,general
productive,"生産的な,好ましい結果を生み出す",「productive」：TOEIC文書での用法を確認,adjective,400,2,5,general
political,"国家の,政府の",「political」：前後の語との組合せを覚える,adjective,400,1,5,general
omit,"省略する,省く",「omit」：TOEIC文書での用法を確認,verb,400,1,5,general
further,"もっと遠い,さらに先の",「further」：TOEIC文書での用法を確認,"verb, adjective",400,1,5,general
appear,"姿を現す,出現する",「appear」：TOEIC文書での用法を確認,verb,400,1,5,general
toward,"…のほうへ,に向かって",「toward」：TOEIC文書での用法を確認,adjective,400,1,5,general
easy,"容易な,骨の折れない",「easy」：文中での品詞を意識する,"verb, adjective",400,1,5,general
defective,"欠点のある,欠陥のある",「defective」：前後の語との組合せを覚える,adjective,400,1,5,general
add,合計する,「add」：TOEIC文書での用法を確認,verb,400,1,5,general
urgent,"急を要する,緊急の",「urgent」：前後の語との組合せを覚える,adjective,400,1,5,general
agree,"意見が一致する,合意する",「agree」：TOEIC文書での用法を確認,verb,400,1,5,general
delete,"削除する,消す",「delete」：TOEIC文書での用法を確認,verb,400,1,5,general
illogical,"非論理的な,不合理な",「illogical」：前後の語との組合せを覚える,adjective,400,1,5,general
minimize,最小限にする,「minimize」：文中での品詞を意識する,verb,400,1,5,general
optional,"選択が自由の,随意の",「optional」：前後の語との組合せを覚える,adjective,400,1,5,general
polite,"礼儀正しい,ていねいな",「polite」：文中での品詞を意識する,adjective,400,1,5,general
describe,"描写する,の特徴を述べる",「describe」：TOEIC文書での用法を確認,verb,400,1,5,general
sightsee,見物(遊覧)する,「sightsee」：文中での品詞を意識する,verb,400,1,5,general
difficult,"難しい,困難な,骨の折れる",「difficult」：前後の語との組合せを覚える,adjective,400,1,5,general
please,"喜ばせる,満足させる,の気に入る",「please」：前後の語との組合せを覚える,"verb, adverb",400,1,5,general
eat,食べる,「eat」：文中での品詞を意識する,verb,400,1,5,general
themselves,"彼ら自身,彼女ら自身,それら自身",「themselves」：TOEIC文書での用法を確認,"verb, preposition",400,2,5,general
enroll,の氏名を名簿に記入する,「enroll」：前後の語との組合せを覚える,verb,400,1,5,general
frustrate,"ざ折させる,失敗させる",「frustrate」：前後の語との組合せを覚える,"verb, adjective",400,1,5,general
decorate,"飾る,飾り立てる",「decorate」：TOEIC文書での用法を確認,verb,400,1,5,general
aisle,座席間の通路,「aisle」：前後の語との組合せを覚える,noun,500,2,4,general
mechanic,"機械工,職工",「mechanic」：TOEIC文書での用法を確認,noun,500,2,4,general
merger,吸収合併,「merger」：TOEIC文書での用法を確認,noun,500,2,4,general
fact,"事実,実際にある(あった)事",「fact」：TOEIC文書での用法を確認,noun,500,2,4,general
sweater,セーター,「sweater」：前後の語との組合せを覚える,noun,500,2,4,general
area,面積,「area」：前後の語との組合せを覚える,noun,500,2,4,general
ingredient,"成分,原料",「ingredient」：文中での品詞を意識する,noun,500,2,4,general
rewrite,書き直す,「rewrite」：文中での品詞を意識する,"noun, verb",500,2,4,general
read,読む,「read」：前後の語との組合せを覚える,"noun, verb",500,2,4,general
itinerary,"旅程,旅行日程",「itinerary」：前後の語との組合せを覚える,"noun, adjective",500,2,4,general
architect,"建築家,建築技師",「architect」：TOEIC文書での用法を確認,noun,500,2,4,general
business,"職業,商売",「business」：文中での品詞を意識する,noun,500,2,4,general
convenience,"都合のよいこと,便利,便宜・便利なもの",「convenience」：苦情・依頼対応でよく使う,noun,500,3,5,customer|business
information,"情報,知識",「information」：前後の語との組合せを覚える,noun,500,3,4,general
government,"政府,行政府,内閣",「government」：前後の語との組合せを覚える,noun,500,2,4,general
baggage,手荷物(luggage),「baggage」：旅程表の文脈で確認,noun,500,2,5,travel|business
word,"語,単語",「word」：TOEIC文書での用法を確認,"noun, verb",500,2,4,general
click,カチリという音,「click」：文中での品詞を意識する,"noun, verb",500,2,4,general
dial,文字盤,「dial」：文中での品詞を意識する,"noun, verb",500,2,4,general
container,"容器,入れ物(箱・かんなど)",「container」：shipping noticeの文脈で確認,noun,500,2,5,shipping|business
build,"組み立てる,造る,建造する,建築する",「build」：TOEIC文書での用法を確認,"noun, verb",500,2,4,general
drawer,引き出し,「drawer」：TOEIC文書での用法を確認,noun,500,2,4,general
lab,Labour Party(英国の)労働党,「lab」：TOEIC文書での用法を確認,noun,500,2,4,general
submission,"服従,屈服,降伏",「submission」：TOEIC文書での用法を確認,noun,500,2,4,general
bulletin,公報,「bulletin」：前後の語との組合せを覚える,"noun, verb",500,2,4,general
certificate,"証明書,証書,証券",「certificate」：formやfileと関連,"noun, verb",500,3,5,document|business
love,"愛,愛情",「love」：TOEIC文書での用法を確認,"noun, verb",500,2,4,general
highway,"幹線道路,公道",「highway」：文中での品詞を意識する,noun,500,2,4,general
job,ヨブ(旧約聖書で苦難に耐える人の典型とされる),「job」：採用・人事の場面で頻出,"noun, verb",500,2,4,employment|business
respondent,"答える,応答する",「respondent」：前後の語との組合せを覚える,"noun, adjective",500,2,4,general
jewelry,装身具類,「jewelry」：前後の語との組合せを覚える,noun,500,2,4,general
away,"離れて,遠くに",「away」：文中での品詞を意識する,"noun, adjective",500,2,4,general
overtime,超過勤務,「overtime」：前後の語との組合せを覚える,"noun, verb",500,2,4,general
example,"例,実例(instance)",「example」：前後の語との組合せを覚える,"noun, verb",500,2,4,general
battery,砲兵中隊,「battery」：install・repairと関連,noun,500,2,5,equipment|business
close,"閉じる,閉める(shut)",「close」：TOEIC文書での用法を確認,"noun, verb",500,2,4,general
program,プログラム(資料の処理の指示),「program」：機器トラブル表現と関連,"noun, verb",500,2,5,technology|business
skim,"から上澄みを取る,浮遊物をすくい取る",「skim」：前後の語との組合せを覚える,"noun, verb",500,2,4,general
lead,"導く,案内する",「lead」：前後の語との組合せを覚える,"noun, verb",500,2,4,general
briefcase,ブリーフケース(書類などを入れるおもに皮製の平たいかばん),「briefcase」：TOEIC文書での用法を確認,noun,500,2,4,general
buy,買う,「buy」：TOEIC文書での用法を確認,"noun, verb",500,2,4,general
dessert,デザート(食事の最後のコースとして出るくだもの・菓子・ナッツなど,「dessert」：TOEIC文書での用法を確認,noun,500,2,4,general
far,"遠くに,遠くへ,はるかに",「far」：前後の語との組合せを覚える,"noun, adjective",500,2,4,general
today,"きょう,本日",「today」：文中での品詞を意識する,"noun, adverb",500,2,4,general
hope,"望む,期待する",「hope」：文中での品詞を意識する,"noun, verb",500,2,4,general
venue,会場、開催地,「venue」：meeting agendaの文脈で確認,noun,500,2,5,meeting|business
commuter,"定期券使用者,(郊外からの)通勤者",「commuter」：TOEIC文書での用法を確認,noun,500,2,4,general
newsletter,時事通信,「newsletter」：TOEIC文書での用法を確認,noun,500,2,4,general
advisor,"忠告者,助言者",「advisor」：文中での品詞を意識する,noun,500,2,4,general
cartridge,交換用カートリッジ,「cartridge」：TOEIC文書での用法を確認,noun,500,2,4,general
photographer,"写真をとる人,(特にプロの)写真家",「photographer」：文中での品詞を意識する,noun,500,3,4,general
shopper,買物客,「shopper」：前後の語との組合せを覚える,noun,500,2,4,general
level,水準、段階,「level」：文中での品詞を意識する,"noun, verb",500,2,4,general
tag,"札,下げ札,荷札",「tag」：前後の語との組合せを覚える,"noun, verb",500,2,4,general
experience,"経験,体験",「experience」：TOEIC文書での用法を確認,"noun, verb",500,2,4,general
announcer,"知らせる人,告知者",「announcer」：文中での品詞を意識する,noun,500,2,4,general
once,"1度,1回",「once」：前後の語との組合せを覚える,"noun, adverb",500,2,4,general
aspect,"顔つき,表情",「aspect」：前後の語との組合せを覚える,noun,500,2,4,general
member,"一員,会員,メンバー",「member」：文中での品詞を意識する,noun,500,2,4,general
audit,会計検査(監査),「audit」：financial reportで用法を確認,"noun, verb",500,2,5,finance|business
contractor,"契約人,請負人",「contractor」：前後の語との組合せを覚える,noun,500,2,4,general
able,できる,「able」：文中での品詞を意識する,"noun, adjective",500,2,4,general
password,合い言葉(watchword),「password」：online serviceの文脈で確認,noun,500,2,5,technology|business
stadium,"競技場,スタジアム,球場",「stadium」：TOEIC文書での用法を確認,noun,500,2,4,general
line,"線,筋,けい",「line」：前後の語との組合せを覚える,"noun, verb",500,2,4,general
terminal,空港バス発着場,「terminal」：出張・交通案内で頻出,"noun, adjective",500,2,5,travel|business
side,面,「side」：前後の語との組合せを覚える,"noun, verb",500,2,4,general
weekday,平日,「weekday」：前後の語との組合せを覚える,noun,500,2,4,general
although,"…ではあるが,…とはいいながら,…だが(though)",「although」：TOEIC文書での用法を確認,noun,500,2,4,general
bonus,"ボーナス,特別手当",「bonus」：文中での品詞を意識する,noun,500,2,4,general
cart,"二輪車,荷馬車,荷車",「cart」：TOEIC文書での用法を確認,"noun, verb",500,2,4,general
term,"専門用語,術語",「term」：契約文書での用法を確認,"noun, verb",500,2,5,contract|business
age,"年齢,寿命",「age」：前後の語との組合せを覚える,"noun, verb",500,2,4,general
ink,のインク,「ink」：前後の語との組合せを覚える,"noun, verb",500,2,4,general
low,"低い,低い所にある",「low」：文中での品詞を意識する,noun,500,2,4,general
waitress,"女給仕人,ウエートレス",「waitress」：TOEIC文書での用法を確認,noun,500,2,4,general
cleaner,掃除機,「cleaner」：前後の語との組合せを覚える,noun,500,2,4,general
public,"公の,公共の,公衆の",「public」：TOEIC文書での用法を確認,"noun, adjective",500,2,4,general
developer,"開発者,啓発者",「developer」：TOEIC文書での用法を確認,noun,500,2,4,general
possible,"可能な,実行できる",「possible」：前後の語との組合せを覚える,"noun, adjective",500,2,4,general
shuttle,杼(ひ)(縦糸の間を走り横糸を通す器具),「shuttle」：TOEIC文書での用法を確認,"noun, verb",500,2,4,general
actually,"実際に,現に,ほんとうに",「actually」：文中での品詞を意識する,adverb,500,2,4,general
rather,"いくぶん,やや",「rather」：前後の語との組合せを覚える,adverb,500,2,4,general
stationery,文房具,「stationery」：社内業務の場面で頻出,noun,500,2,5,office|business
view,"見ること,ながめること,一見,一覧",「view」：文中での品詞を意識する,"noun, verb",500,2,4,general
together,"いっしょに,共に,連れ立って",「together」：前後の語との組合せを覚える,adverb,500,2,4,general
alike,"同じように,等しく(similarly)",「alike」：文中での品詞を意識する,adverb,500,2,4,general
flavor,"風味,味",「flavor」：文中での品詞を意識する,"noun, verb",500,2,4,general
parent,親(父または母),「parent」：文中での品詞を意識する,noun,500,2,4,general
picnic,"ピクニック,(野外の食事を伴う)遠足",「picnic」：TOEIC文書での用法を確認,"noun, verb",500,2,4,general
hard,"堅い,(手触りが)堅固な,しっかりした",「hard」：前後の語との組合せを覚える,"noun, adjective",500,2,4,general
recipe,"作り方,処方",「recipe」：文中での品詞を意識する,noun,500,2,4,general
refreshment,"元気回復,気分爽快(そうかい)",「refreshment」：TOEIC文書での用法を確認,noun,500,3,4,general
control,"統制,抑制,制御",「control」：前後の語との組合せを覚える,"noun, verb",500,2,4,general
already,"もう,すでに",「already」：前後の語との組合せを覚える,adverb,500,2,4,general
concern,"…に関係する,かかわる,影響する",「concern」：TOEIC文書での用法を確認,"noun, verb",500,2,4,general
commonly,"一般に,通例,普通",「commonly」：文中での品詞を意識する,adverb,500,2,4,general
story,"話,実話",「story」：前後の語との組合せを覚える,"noun, verb",500,2,4,general
almost,"ほとんど,たいてい(nearly)",「almost」：文中での品詞を意識する,adverb,500,2,4,general
stand,"立つ,立っている",「stand」：前後の語との組合せを覚える,"noun, verb",500,2,4,general
whole,"全体の,全部の,全…",「whole」：TOEIC文書での用法を確認,"noun, adjective",500,2,4,general
yet,まだ,「yet」：文中での品詞を意識する,adverb,500,2,4,general
